61.160.247.63 - - [17/Sep/2017:09:20:33 +0200] "GET / HTTP/1.1" 200 477 "http://212.237.179.231:80" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)"
77.241.137.127 - - [18/Sep/2017:07:57:12 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:12 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:12 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:12 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
188.182.160.189 - - [18/Sep/2017:08:00:54 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
188.182.160.189 - - [18/Sep/2017:10:00:54 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
172.104.108.109 - - [18/Sep/2017:10:49:18 +0200] "GET / HTTP/1.1" 200 465 "-" "Mozilla/5.0"
185.130.212.234 - - [18/Sep/2017:11:39:35 +0200] "GET / HTTP/1.1" 200 477 "-" "-"
188.182.160.189 - - [18/Sep/2017:12:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
77.241.137.127 - - [18/Sep/2017:13:54:42 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:43 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:44 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:44 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:13:54:44 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
188.182.160.189 - - [18/Sep/2017:14:00:54 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
142.4.215.116 - - [18/Sep/2017:14:01:31 +0200] "GET /eqdkp/robots.txt HTTP/1.0" 404 476 "-" ""
142.4.215.116 - - [18/Sep/2017:14:01:34 +0200] "GET /eqdkp HTTP/1.1" 404 446 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30"
139.162.108.53 - - [18/Sep/2017:14:18:12 +0200] "GET / HTTP/1.1" 200 440 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
